k,h,offset,Combo,Plastic,Reagent,Channel
4.023231401083004,1.0,61.30434351699345,P15.GH,15,GH,9
4.777087019157146,1.0,50.49098578756208,P15.GH,15,GH,10
4.238471590401852,0.0267947548095814,42.42469555658011,P15.GH,15,GH,11
5.125607358967859,1.0,52.39411937916922,P15.GH,15,GH,12
5.220705642942482,1.0,49.71752108450832,P15.GH,15,GH,13
5.417042394916915,0.8865686771559511,43.81740789763367,P15.GH,15,GH,14
5.517593098710549,0.9673237734063564,44.93121762373242,P15.GH,15,GH,15
3.942956816240715,1.0,73.56033706154341,P15.GL,15,GL,0
4.073955579886661,1.0,66.50955018634413,P15.GL,15,GL,1
4.31454465587632,1.0,63.89721678033894,P15.GL,15,GL,2
5.000004774461698,1.0,59.329148289557125,P15.GL,15,GL,3
4.834620932103028,1.0,58.80670530756704,P15.GL,15,GL,4
4.20121949455108,0.9999921555645176,49.88205076706558,P15.GL,15,GL,5
4.748560677494991,0.9501589122078514,45.66713222560294,P15.GL,15,GL,6
4.500504782103765,1.0,50.35487274731664,P15.GL,15,GL,7
4.612424794080106,1.0,52.684607297488505,P15.GL,15,GL,8
4.235651912389077,1.0,53.68135310827674,P15.GL,15,GL,9
5.215498274460122,0.9791149782138858,45.57372416659024,P15.GL,15,GL,10
4.833092384462967,0.4790028811818241,41.589520948520175,P15.GL,15,GL,11
5.842770815192713,4.1272192819204655e-24,39.81688167398652,P15.GL,15,GL,12
5.396934566778429,1.0,50.55874948333718,P15.GL,15,GL,13
5.187715392201682,0.9942939748493383,47.17323377980622,P15.GL,15,GL,14
5.104956299914989,0.9740458021809416,44.791801249803214,P15.GL,15,GL,15
5.595715936589659,4.293018911536197e-23,37.15063798315797,P16.GH,16,GH,0
5.469171425999587,1.0,54.5150847267892,P16.GH,16,GH,1
5.234654204277721,0.9924210408871508,46.6458469333017,P16.GH,16,GH,2
5.244384545428044,0.982432770021712,46.06143134749916,P16.GH,16,GH,3
4.299405499285131,1.0,62.78266361354322,P16.GH,16,GH,4
4.607468812366118,0.998726179416604,48.08406425088273,P16.GH,16,GH,5
4.831188229909736,4.352391738706751e-22,43.66167465770683,P16.GH,16,GH,6
5.083741354980085,0.757796785651397,42.77812481991523,P16.GH,16,GH,7
4.435870746032334,0.982143230535808,46.726648776067,P16.GH,16,GH,8
4.90537404676784,0.9975310930432416,49.05785096095926,P16.GH,16,GH,9
5.032508078917905,0.963706034857893,44.775941247604365,P16.GH,16,GH,10
4.863009836864061,1.3535834651307485e-18,41.28657601694956,P16.GH,16,GH,11
4.7506035935885365,1.0,49.33103509559144,P16.GH,16,GH,12
5.032032905378681,0.9901398348829172,46.09128490260414,P16.GH,16,GH,13
5.516482138355872,0.9977723254998097,45.74455969802988,P16.GH,16,GH,14
4.6841520822677545,0.9942909598780288,46.67981443108471,P16.GH,16,GH,15
4.429879792469701,0.9907892420888176,46.87542377671468,P16.GL,16,GL,0
4.850340052291011,0.665606968127428,42.11593200837936,P16.GL,16,GL,1
5.1256928885262845,0.9791522525805276,45.38657620770051,P16.GL,16,GL,2
5.110885673037386,1.0,49.17051888735293,P16.GL,16,GL,3
4.667906115493533,1.0,53.99107081107978,P16.GL,16,GL,4
5.332175232952279,0.9271280554495152,41.332580017139165,P16.GL,16,GL,5
4.734660706135172,1.0,49.91989355721946,P16.GL,16,GL,6
4.992904269669485,0.9778740288864846,46.20898691387179,P16.GL,16,GL,7
4.63478612080515,1.0,54.31354009988157,P16.GL,16,GL,8
4.964895642247383,0.902467312635304,45.87874351994641,P16.GL,16,GL,9
4.84968641375837,0.9043736791202474,45.600721732298894,P16.GL,16,GL,10
4.554024984840643,0.7719359300257123,46.192247005624246,P16.GL,16,GL,11
4.809636884255728,1.0,53.98168547000744,P16.GL,16,GL,12
5.494965674723478,0.9832003617360542,46.39275481551767,P16.GL,16,GL,13
5.635027358652336,0.9432179438015244,43.0261588282653,P16.GL,16,GL,14
5.269361602590818,1.0,51.91889059779288,P16.GL,16,GL,15
4.483007744472082,0.9999831764148012,49.82260183880718,P17.GH,17,GH,0
4.509448166254105,0.1966279614981597,46.36959640513589,P17.GH,17,GH,1
4.842732918560903,0.9943766815616112,45.66980095696265,P17.GH,17,GH,2
4.779199115909605,0.9971365643514654,48.25602219670069,P17.GH,17,GH,3
4.954261864807817,1.0,52.926157722562486,P17.GH,17,GH,4
4.689901508217946,0.9828431005698516,45.38732163231893,P17.GH,17,GH,5
4.597357828683175,0.8859964462307249,44.51001368490999,P17.GH,17,GH,6
4.507980320019166,0.9928143211920568,47.31420573116407,P17.GH,17,GH,7
5.024992163519576,0.5338067232086297,45.16716620967832,P17.GH,17,GH,8
4.767508923946065,1.0,51.01145390030164,P17.GH,17,GH,9
4.964473252287084,0.9988803379459676,48.77428605096048,P17.GH,17,GH,10
5.065069248319199,1.0,51.398382939787446,P17.GH,17,GH,11
4.799374555816219,0.99617531184834,48.51771592950161,P17.GH,17,GH,12
4.463384399101208,0.8629666967072637,43.571932606398576,P17.GH,17,GH,13
4.591231914415316,0.9597673728398112,47.20452765990808,P17.GH,17,GH,14
4.658070283929998,0.9806396826282332,45.75081812241029,P17.GH,17,GH,15
4.706296510529137,0.1787314144481148,40.20581936587905,P17.GL,17,GL,0
5.150464990506514,0.9865751459826324,46.455496396537264,P17.GL,17,GL,1
4.58607046291911,0.9998159536701344,49.40540808714244,P17.GL,17,GL,2
4.903649848359806,0.9774981719474376,45.12946595531136,P17.GL,17,GL,3
4.740524455416815,0.9991995196150923,48.66308792672742,P17.GL,17,GL,4
4.784474381057546,0.997166119056106,47.19892435653368,P17.GL,17,GL,5
5.133289726816149,0.5135506191265338,42.96644091999283,P17.GL,17,GL,6
5.267700242127468,0.3581410746349762,41.38498662381721,P17.GL,17,GL,7
4.593614954313649,1.0,52.19858829740657,P17.GL,17,GL,8
4.826274658691841,1.0,48.12092718860584,P17.GL,17,GL,9
5.065341051208363,0.9889540561864596,47.07660018894895,P17.GL,17,GL,10
5.003630948449222,0.911786972475032,43.80339698516582,P17.GL,17,GL,11
4.99274334696537,0.9905134815157124,45.87090606298342,P17.GL,17,GL,12
5.289324982382114,0.8317821845175319,43.82663562146491,P17.GL,17,GL,13
4.758812410440656,3.56228885087656e-23,40.61179771468329,P17.GL,17,GL,14
4.7517365791725545,0.5676813871059267,42.75262234277957,P17.GL,17,GL,15
4.613752790387208,0.6663213008635113,42.2530107676499,P18.GH,18,GH,0
4.611826835819798,0.992214139276889,46.60548254054355,P18.GH,18,GH,1
